RRID,Name,AKA,Species,Description,MAC Knockins/outs,MIC Knockins/outs,Gene of interest,Origin,Publications,Comments
TSC_SD03070,MU121.3,C1.1A.3,T. thermophila,"chx1-1/chx1-1; MPR1/MPR1; asi2::neo/asi2::neo (ASI2, IV)",,ASI2,"ASI2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00191480\"">TTHERM_00191480</a>)",,"Li S, Yin L, Cole ES, Udani RA, Karrer KM. 2006. Progeny of germ line knockouts of ASI2, a gene encoding a putative signal transduction receptor in tetrahymena thermophila, fail to make the transition from sexual reproduction to vegetative growth. Dev Biol 295(2):633-46.",
TSC_SD03071,MU135,C9,T. thermophila,"(ASI2::neo; pm-r, II)",ASI2 somatic knockout,,"ASI2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00191480\"">TTHERM_00191480</a>)",,,
TSC_SD03072,MU136,A4,T. thermophila,"mpr1-1/mpr1-1 (asi2::neo; pm-r, VII)",ASI2 knockout,,"ASI2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00191480\"">TTHERM_00191480</a>)",,,ASI2 somatic knockout of CU328
TSC_SD03073,MU137,ASI2Y607FB1E2,T. thermophila,"(pm-r, II)",ASI2 replaced with ASI2Y607F,,"ASI2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00191480\"">TTHERM_00191480</a>)",Somatic transformant of B2086,,"Y607 is in a putative SH2 binding site. ASI2 is nonessential for vegetative growth. Matings between ASI2Y607F somatic replacement strains have reduced fertility and delayed endocycling during MAC development.<br /><br />For paromomycin resistance, add 0.5 ug/ul CdCl2 along with the parmomycin."
TSC_SD03074,1359-1,,T. thermophila,(VII),,,,,"Booth L, Wolfe B, Doerder FP. 2015. Molecular polymorphism in the MTA and MTB mating type genes of tetrahymena thermophila and related asexual species. J Eukaryot Microbiol.","Collected by Paul Doerder on 6/27/1991 from the pond designated FS136E in PA (latitude 41.46, longitude -78.88)<br /><br />Presence of micronucleus not determined."
TSC_SD03075,16020-2,,T. thermophila,(V),,,,,"Booth L, Wolfe B, Doerder FP. 2015. Molecular polymorphism in the MTA and MTB mating type genes of tetrahymena thermophila and related asexual species. J Eukaryot Microbiol.","Collected by Paul Doerder on 9/21/1996 from the pond designated CRWP in PA (latitude 41.42, longitude -78.86)<br /><br />Presence of micronucleus not determined."
TSC_SD03076,18262-1,,T. thermophila,(VII),,,,,"Booth L, Wolfe B, Doerder FP. 2015. Molecular polymorphism in the MTA and MTB mating type genes of tetrahymena thermophila and related asexual species. J Eukaryot Microbiol.","Collected by Paul Doerder on 8/17/2001 from the pond designated SG29 in PA (latitude 41.73, longitude -79.23)<br /><br />Presence of micronucleus not determined."
TSC_SD03077,18301-3,,T. thermophila,(V),,,,,"Booth L, Wolfe B, Doerder FP. 2015. Molecular polymorphism in the MTA and MTB mating type genes of tetrahymena thermophila and related asexual species. J Eukaryot Microbiol.","Collected by Paul Doerder on 6/1/2003 from the pond designated SG29 in PA (latitude 41.73, longitude -79.23)<br /><br />Presence of micronucleus not determined."
TSC_SD03078,18535-1,,T. thermophila,(V),,,,,"Booth L, Wolfe B, Doerder FP. 2015. Molecular polymorphism in the MTA and MTB mating type genes of tetrahymena thermophila and related asexual species. J Eukaryot Microbiol.","Collected by Paul Doerder on 6/7/2005 from the pond designated FS136E in PA (latitude 41.46, longitude -78.88)<br /><br />Presence of micronucleus not determined."
TSC_SD03079,18847-3,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 9/17/2005 from the pond designated BZ #13 in PA (latitude 41.45, longitude -79.05)<br /><br />Has a micronucleus, but did not mate."
TSC_SD03080,19059-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 6/30/2006 from the pond designated SG69-1 in PA (latitude 41.62, longitude -79.92)<br /><br />No micronucleus present. Did not mate."
TSC_SD03081,19261-3,,T. thermophila,(IV),,,,,,"Collected by Paul Doerder on 7/13/2006 from the pond designated NH4A in NH (latitude 43.5, longitude -72.01)<br /><br />Presence of micronucleus not determined."
TSC_SD03082,19270-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 7/13/2006 from the pond designated Gregg Lake in NH (latitude 43.04, longitude -71.99)<br /><br />Presence of micronucleus not determined. Mated with < 6 testers."
TSC_SD03083,19270-4,,T. thermophila,(III),,,,,,"Collected by Paul Doerder on 7/13/2006 from the pond designated Gregg Lake in NH (latitude 43.04, longitude -71.99)<br /><br />Presence of micronucleus not determined."
TSC_SD03084,19270-5,,T. thermophila,(IV),,,,,,"Collected by Paul Doerder on 7/13/2006 from the pond designated Gregg Lake in NH (latitude 43.04, longitude -71.99)<br /><br />Presence of micronucleus not determined."
TSC_SD03085,19271-3,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 7/13/2006 from the pond designated Gregg Lake in NH (latitude 43.04, longitude -71.99)<br /><br />Presence of micronucleus not determined. Mated with < 6 testers."
TSC_SD03086,19304-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 9/10/2006 from the pond designated SG69-6 in PA (latitude 41.64, longitude -79.91)<br /><br />Presence of micronucleus not determined. Mated with < 6 testers."
TSC_SD03087,19608-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 9/22/2007 from the pond designated FS136NW in PA (latitude 41.5, longitude -78.9)<br /><br />Has a micronucleus. Looked a bit different when mated, likely due to growth phase."
TSC_SD03088,19609-3,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 9/22/2007 from the pond designated FS136NW in PA (latitude 41.5, longitude -78.9)<br /><br />Has a micronucleus. "
TSC_SD03089,19617-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 9/22/2007 from the pond designated FS136E in PA (latitude 41.46, longitude -78.88)<br /><br />Has a micronucleus. No mating, immature."
TSC_SD03090,19692-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 5/31/2008 from the pond designated FS343W in PA (latitude 41.44, longitude -78.93)<br /><br />Has a micronucleus. Mated with < 6 testers."
TSC_SD03091,19788-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 7/29/2008 from the pond designated SG29 in PA (latitude 41.73, longitude -79.23)<br /><br />Has a micronucleus. Mated with < 6 testers."
TSC_SD03092,19789-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 7/29/2008 from the pond designated SG29 in PA (latitude 41.73, longitude -79.23)<br /><br />Has a micronucleus. Looked a bit different when mated, likely due to growth phase."
TSC_SD03093,19802-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 7/29/2008 from the pond designated Beaver Meadows in PA (latitude 41.52, longitude -79.11)<br /><br />Has a micronucleus. No mating, immature."
TSC_SD03094,19814-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 7/30/2008 from the stream designated RedLkRn in PA (latitude 41.49, longitude -78.88)<br /><br />Has a micronucleus. No mating, immature."
TSC_SD03095,19814-3,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 7/30/2008 from the stream designated RedLkRn in PA (latitude 41.49, longitude -78.88)<br /><br />Presence of micronucleus not determined. Mated with < 6 testers."
TSC_SD03096,19817-3,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 7/30/2008 from the pond designated CRWP in PA (latitude 41.42, longitude -78.86)<br /><br />Has a micronucleus. No mating, immature."
TSC_SD03097,19819-3,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 7/30/2008 from the pond designated CRWP in PA (latitude 41.42, longitude -78.86)<br /><br />Has a micronucleus. No mating, immature."
TSC_SD03098,19876-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 8/26/2008 from the pond designated SG69-4 in PA (latitude 41.63, longitude -79.89)<br /><br />No micronucleus present. No mating, immature."
TSC_SD03099,19878-2,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 8/26/2008 from the pond designated SG69-4 in PA (latitude 41.63, longitude -79.89)<br /><br />No micronucleus present. No mating, immature."
TSC_SD03100,19878-5,,T. thermophila,(I),,,,,,"Collected by Paul Doerder on 8/26/2008 from the pond designated SG69-4 in PA (latitude 41.63, longitude -79.89)<br /><br />Has a micronucleus."
TSC_SD03101,19880-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 8/26/2008 from the pond designated SG69-4 in PA (latitude 41.63, longitude -79.89)<br /><br />No micronucleus present. No mating, immature."
TSC_SD03103,20396-1,,T. thermophila,(V),,,,,"Booth L, Wolfe B, Doerder FP. 2015. Molecular polymorphism in the MTA and MTB mating type genes of tetrahymena thermophila and related asexual species. J Eukaryot Microbiol.","Collected by Paul Doerder on 7/22/2009 from the lake designated Lake Warren in NH (latitude 43.12, longitude -72.3)<br /><br />Has a micronucleus."
TSC_SD03104,20430-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 7/24/2009 from the pond designated Island Pond #1 in NH (latitude 43.17, longitude -72.07)<br /><br />Has a micronucleus. No mating, immature."
TSC_SD03106,20450-3,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 7/24/2009 from the pond designated Rye Pond in NH (latitude 43.02, longitude -72.06)<br /><br />Presence of micronucleus not determined. Mated with < 6 testers."
TSC_SD03107,20452-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 7/24/2009 from the pond designated Willard Pond in NH (latitude 43.02, longitude -72.02)<br /><br />Has a micronucleus. Mated with < 6 testers."
TSC_SD03108,20469-2,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 7/25/2009 from the pond designated Childs Bog in NH (latitude 42.96, longitude -72.12)<br /><br />Has a micronucleus. No mating, immature."
TSC_SD03109,20471-5,,T. thermophila,(IV),,,,,,"Collected by Paul Doerder on 7/25/2009 from the pond designated Childs Bog in NH (latitude 42.96, longitude -72.12)<br /><br />Has a micronucleus."
TSC_SD03110,20480-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 7/25/2009 from the pond designated Perkins Pond in NH (latitude 42.84, longitude -72.14)<br /><br />Has a micronucleus. No mating, immature."
TSC_SD03111,20480-5,,T. thermophila,(VII),,,,,"Booth L, Wolfe B, Doerder FP. 2015. Molecular polymorphism in the MTA and MTB mating type genes of tetrahymena thermophila and related asexual species. J Eukaryot Microbiol.","Collected by Paul Doerder on 7/25/2009 from the pond designated Perkins Pond in NH (latitude 42.84, longitude -72.14)<br /><br />Has a micronucleus."
TSC_SD03112,21125-1,,T. thermophila,(?),,,,,,"Collected by Paul Doerder on 5/21/2011 from the pond designated CRWP in PA (latitude 41.42, longitude -78.86)<br /><br />Has a micronucleus. No mating, immature."
TSC_SD03113,21136-4,,T. thermophila,(IV),,,,,,"Collected by Paul Doerder on 5/21/2011 from the pond designated FS136E in PA (latitude 41.46, longitude -78.88)<br /><br />Presence of micronucleus not determined."
TSC_SD03114,21157-1,,T. thermophila,(V),,,,,,"Collected by Paul Doerder on 5/22/2011 from the pond designated FS343S in PA (latitude 41.45, longitude -78.88)<br /><br />Presence of micronucleus not determined."
TSC_SD03115,8596-2,,T. thermophila,(V),,,,,"Booth L, Wolfe B, Doerder FP. 2015. Molecular polymorphism in the MTA and MTB mating type genes of tetrahymena thermophila and related asexual species. J Eukaryot Microbiol.","Collected by Paul Doerder on 7/22/1994 from the pond designated SG29 in PA (latitude 41.73, longitude -79.23)<br /><br />Presence of micronucleus not determined."
TSC_SD03119,19390-2,,T. americanis,,,,,,,"Collected by Paul Doerder on 6/7/2007 from the pond designated Spring Lake in PA (latitude 41.76, longitude -79.9)<br /><br />Has a micronucleus."
TSC_SD03123,19476-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 8/14/2007 from the river designated Yellowstone River MT in MT (latitude 46.26, longitude -106.7)<br /><br />Has a micronucleus."
TSC_SD03124,19499-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 8/15/2007 from the lake designated Kinzua Bay DD in PA (latitude 41.83, longitude -78.96)<br /><br />Has a micronucleus."
TSC_SD03127,19511-2,,T. borealis,,,,,,,"Collected by Paul Doerder on 8/15/2007 from the pond designated Beaver Meadows in PA (latitude 41.52, longitude -79.11)<br /><br />Has a micronucleus."
TSC_SD03129,19569-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 8/26/2007 from the stream designated NorthFork in PA (latitude 41.23, longitude -79.05)<br /><br />Has a micronucleus."
TSC_SD03130,19586-2,,T. borealis-a,,,,,,,"Collected by Paul Doerder on 9/16/2007 from the lake designated LakeErieMH in OH (latitude 41.76, longitude -81.29)<br /><br />Has a micronucleus."
TSC_SD03132,19635-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 10/28/2007 from the stream designated EBranchSundayCr in OH (latitude 39.58, longitude -82.02)<br /><br />No micronucleus present."
TSC_SD03133,19636-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 10/28/2007 from the lake designated BurrOakRes in OH (latitude 39.57, longitude -82.03)<br /><br />No micronucleus present."
TSC_SD03134,19723-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 6/14/2008 from the lake designated Barnesville Res #1 in OH (latitude 39.97, longitude -81.16)<br /><br />Has a micronucleus."
TSC_SD03135,19728-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 6/14/2008 from the lake designated Seneca Lake 2 in OH (latitude 39.89, longitude -81.35)<br /><br />Has a micronucleus."
TSC_SD03136,19787-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 7/29/2008 from the stream designated Little Brokenstraw in PA (latitude 41.84, longitude -79.39)<br /><br />Has a micronucleus."
TSC_SD03138,19827-4,,T. americanis,,,,,,,"Collected by Paul Doerder on 8/10/2008 from the pond designated N Chagrin S Duck Pond in OH (latitude 41.56, longitude -81.44)<br /><br />Has a micronucleus."
TSC_SD03139,19840-5,,T. americanis,,,,,,,"Collected by Paul Doerder on 8/12/2008 from the river designated Blanchard River 1 in OH (latitude 40.96, longitude -83.55)<br /><br />Has a micronucleus."
TSC_SD03140,19843-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 8/13/2008 from the marsh designated Toussaint River Marsh in OH (latitude 41.59, longitude -83.11)<br /><br />Has a micronucleus."
TSC_SD03142,19863-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 8/26/2008 from the lake designated Canadohta Lake 1 in PA (latitude 41.81, longitude -79.84)<br /><br />Has a micronucleus."
TSC_SD03143,19889-3,,T. americanis,,,,,,,"Collected by Paul Doerder on 8/26/2008 from the stream designated French Creek 2 in PA (latitude 41.52, longitude -80.05)<br /><br />Has a micronucleus."
TSC_SD03144,19894-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 8/26/2008 from the lake designated Tamarack Lake 2 in PA (latitude 41.61, longitude -80.1)<br /><br />Has a micronucleus."
TSC_SD03145,19898-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 8/26/2008 from the lake designated Woodcock Creek Lake in PA (latitude 41.69, longitude -80.08)<br /><br />Has a micronucleus."
TSC_SD03147,20045-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 3/17/2009 from the stream designated TionestaCr in PA (latitude 41.62, longitude -79.12)<br /><br />No micronucleus present."
TSC_SD03149,20073-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 3/24/2009 from the lake designated Singer Lake NP5 in OH (latitude 40.92, longitude -81.49)<br /><br />No micronucleus present."
TSC_SD03150,20083-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 3/24/2009 from the lake designated WalbornReservoir1 in OH (latitude 40.96, longitude -81.2)<br /><br />No micronucleus present."
TSC_SD03153,20145-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 4/17/2009 from the stream designated Tionesta Kelletville in PA (latitude 41.55, longitude -79.26)<br /><br />No micronucleus present."
TSC_SD03154,20154-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 4/18/2009 from the stream designated SwiftCampCreek in KY (latitude 37.79, longitude -83.56)<br /><br />Has a micronucleus."
TSC_SD03155,20212-4,,T. borealis,,,,,,,"Collected by Paul Doerder on 5/19/2009 from the river designated Muskegon River 2 in MI (latitude 43.41, longitude -85.72)<br /><br />Has a micronucleus."
TSC_SD03156,20327-5,,T. borealis,,,,,,,"Collected by Paul Doerder on 6/28/2009 from the pond designated CraigPond in ME (latitude 44.59, longitude -68.68)<br /><br />Has a micronucleus."
TSC_SD03157,20360-2,,T. borealis,,,,,,,"Collected by Paul Doerder on 6/28/2009 from the pond designated PemaquidPond in ME (latitude 44.02, longitude -69.45)<br /><br />No micronucleus present."
TSC_SD03161,20439-2,,T. borealis,,,,,,,"Collected by Paul Doerder on 7/24/2009 from the pond designated GreggLake in NH (latitude 43.04, longitude -71.99)<br /><br />No micronucleus present."
TSC_SD03162,20483-4,,T. australis,,,,,,,"Collected by Paul Doerder on 7/25/2009 from the lake designated Spofford Lake in NH (latitude 42.9, longitude -72.45)<br /><br />Has a micronucleus."
TSC_SD03163,20492-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 7/25/2009 from the river designated Susquehanna 1 in NY (latitude 42.09, longitude -76.23)<br /><br />Has a micronucleus."
TSC_SD03164,20754-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 7/12/2010 from the lake designated Long Lake in MI (latitude 46.12, longitude -88.45)<br /><br />No micronucleus present."
TSC_SD03165,20766-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 7/12/2010 from the lake designated Buck Lake in MI (latitude 46.03, longitude -88.41)<br /><br />Has a micronucleus."
TSC_SD03166,20902-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 8/25/2010 from the pond designated Lampson Res in OH (latitude 41.75, longitude -80.8)<br /><br />Has a micronucleus."
TSC_SD03167,20958-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 9/4/2010 from the lake designated Long Lake Pocono in PA (latitude 41.67, longitude -75.34)<br /><br />No micronucleus present."
TSC_SD03168,20962-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 9/4/2010 from the pond designated Miller Pond in PA (latitude 41.72, longitude -75.35)<br /><br />Has a micronucleus."
TSC_SD03169,20983-2,,T. borealis,,,,,,,"Collected by Paul Doerder on 9/4/2010 from the lake designated LakeWallenpaupacic in PA (latitude 41.45, longitude -75.18)<br /><br />No micronucleus present."
TSC_SD03170,20990-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 9/4/2010 from the lake designated Promised Land Lake in PA (latitude 41.32, longitude -75.21)<br /><br />Has a micronucleus."
TSC_SD03171,21194-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 6/10/2011 from the lake designated Lake Barkley 1 in KY (latitude 37.05, longitude -88.15)<br /><br />Has a micronucleus."
TSC_SD03172,21230-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 6/11/2011 from the lake designated Lake Malone in KY (latitude 37.04, longitude -87.04)<br /><br />Has a micronucleus."
TSC_SD03173,21231-2,,T. americanis,,,,,,,"Collected by Paul Doerder on 6/11/2011 from the lake designated Lake Malone in KY (latitude 37.04, longitude -87.04)<br /><br />Has a micronucleus."
TSC_SD03174,21244-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 6/12/2011 from the lake designated Shanty Hollow Lake in KY (latitude 37.14, longitude -86.38)<br /><br />Has a micronucleus."
TSC_SD03175,21251-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 6/12/2011 from the lake designated Barren River Lake 1 in KY (latitude 36.89, longitude -86.12)<br /><br />Has a micronucleus."
TSC_SD03176,21267-4,,T. americanis,,,,,,,"Collected by Paul Doerder on 6/12/2011 from the lake designated Barren River Lake 4 in KY (latitude 36.93, longitude -86.03)<br /><br />Has a micronucleus."
TSC_SD03178,21272-4,,T. americanis,,,,,,,"Collected by Paul Doerder on 6/12/2011 from the lake designated Green River Lake1 in KY (latitude 37.23, longitude -85.34)<br /><br />Has a micronucleus."
TSC_SD03179,21331-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 6/14/2011 from the lake designated Yatesville Lake 1 in KY (latitude 38.09, longitude -82.69)<br /><br />Has a micronucleus."
TSC_SD03180,21340-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 6/14/2011 from the lake designated Grayson Lake 1 in KY (latitude 38.2, longitude -83.01)<br /><br />Has a micronucleus."
TSC_SD03182,21396-4,,T. americanis,,,,,,,"Collected by Paul Doerder on 7/20/2011 from the river designated Pine River in MN (latitude 46.57, longitude -94.03)<br /><br />Has a micronucleus."
TSC_SD03183,21409-3,,T. borealis,,,,,,,"Collected by Paul Doerder on 7/20/2011 from the lake designated Lake Edward MN in MN (latitude 46.5, longitude -94.18)<br /><br />No micronucleus present."
TSC_SD03184,21467-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 8/11/2011 from the lake designated Big Bass Lake in MI (latitude 44.93, longitude -84.51)<br /><br />Has a micronucleus."
TSC_SD03185,21489-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 8/11/2011 from the lake designated Avalon Lake in MI (latitude 45.1, longitude -83.94)<br /><br />Has a micronucleus."
TSC_SD03186,21496-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 8/11/2011 from the lake designated Long Lake 2 in MI (latitude 45.23, longitude -83.48)<br /><br />Has a micronucleus."
TSC_SD03187,21501-4,,T. americanis,,,,,,,"Collected by Paul Doerder on 8/11/2011 from the lake designated Grand Lake MI in MI (latitude 45.3, longitude -83.53)<br /><br />Has a micronucleus."
TSC_SD03188,21503-1,,T. americanis,,,,,,,"Collected by Paul Doerder on 8/11/2011 from the river designated Thunder Bay Alpena in MI (latitude 45.07, longitude -83.45)<br /><br />Has a micronucleus."
TSC_SD03189,18885-1,,T. elliotti,,,,,,,"Collected by Paul Doerder on 10/1/2005 from the pond designated FS136E in PA (latitude 41.46, longitude -78.88)<br /><br />It has a micronucleus."
TSC_SD03190,19481-1,,T. pigmentosa,,,,,,,"Collected by Paul Doerder on 8/16/2007 from the stream designated Fish Cr Slough Ashland in WI (latitude 46.59, longitude -90.93)<br /><br />It has a micronucleus."
TSC_SD03191,19482-1,,T. hegewischi,,,,,,,"Collected by Paul Doerder on 8/16/2007 from the lake designated Sunday Lake MI in MI (latitude 46.48, longitude -89.93)<br /><br />It has a micronucleus."
TSC_SD03192,19591-1,,T. shanghaiensis,,,,,,,"Collected by Paul Doerder on 9/16/2007 from the stream designated Chagrin River 1 in OH (latitude 41.54, longitude -81.24)<br /><br />No micronucleus present."
TSC_SD03193,19637-1,,T. tropicalis,,,,,,,"Collected by Paul Doerder on 10/28/2007 from the lake designated Burr Oak Res in OH (latitude 39.57, longitude -82.03)<br /><br />It has a micronucleus."
TSC_SD03194,19827-3,,T. mobilis,,,,,,,"Collected by Paul Doerder on 8/10/2008 from the pond designated N Chagrin S Duck Pond in OH (latitude 41.56, longitude -81.44)<br /><br />No micronucleus present."
TSC_SD03195,19883-1,,T. hegewischi,,,,,,,"Collected by Paul Doerder on 8/26/2008 from the pond designated SG69-1 in PA (latitude 41.62, longitude -79.92)<br /><br />It has a micronucleus."
TSC_SD03196,20021-1,,T. tropicalis,,,,,,,"Collected by Paul Doerder on 10/4/2008 from the lake designated Hickory Grove Lake in IA (latitude 41.99, longitude -93.36)<br /><br />No micronucleus present."
TSC_SD03197,20197-1,,T. pigmentosa,,,,,,,"Collected by Paul Doerder on 5/19/2009 from the lake designated Camp Lake in MI (latitude 43.17, longitude -85.67)<br /><br />It has a micronucleus."
TSC_SD03198,20385-5,,T. canadensis,,,,,,,"Collected by Paul Doerder on 7/19/2009 from the river designated Battenkill River 2 in VT (latitude 43.1, longitude -73.14)<br /><br />It has a micronucleus."
TSC_SD03199,20423-2,,T. canadensis,,,,,,,"Collected by Paul Doerder on 7/24/2009 from the pond designated Ashuelot Pond in NH (latitude 43.15, longitude -72.15)<br /><br />No micronucleus present."
TSC_SD03200,20451-1,,T. pigmentosa,,,,,,,"Collected by Paul Doerder on 7/24/2009 from the pond designated Willard Pond in NH (latitude 43.02, longitude -72.02)<br /><br />It has a micronucleus."
TSC_SD03201,20459-1,,T. pyriformis,,,,,,,"Collected by Paul Doerder on 7/25/2009 from the pond designated SR101 South #1 in NH (latitude 42.91, longitude -72.12)<br /><br />No micronucleus present."
TSC_SD03202,20475-2,,T. hegewischi,,,,,,,"Collected by Paul Doerder on 7/25/2009 from the pond designated Skatutakee Lake in NH (latitude 42.94, longitude -72.09)<br /><br />It has a micronucleus."
TSC_SD03203,20505-1,,T. pigmentosa,,,,,,,"Collected by Paul Doerder on 7/25/2009 from the ditch designated CR30 in NY (latitude 42.08, longitude -78.58)<br /><br />It has a micronucleus."
TSC_SD03204,20702-1,,T. elliotti,,,,,,,"Collected by Paul Doerder on 7/10/2010 from the lake designated Lac La Belle in MI (latitude 47.38, longitude -88.02)<br /><br />No micronucleus present."
TSC_SD03205,20984-5,,T. elliotti,,,,,,,"Collected by Paul Doerder on 9/4/2010 from the lake designated Fairview Lake in PA (latitude 41.4, longitude -75.19)<br /><br />It has a micronucleus."
TSC_SD03206,21014-3,,T. elliotti,,,,,,,"Collected by Paul Doerder on 9/4/2010 from the pond designated Peck's Pond in PA (latitude 41.28, longitude -75.08)<br /><br />It has a micronucleus."
TSC_SD03207,21027-1,,T. elliotti,,,,,,,"Collected by Paul Doerder on 9/18/2010 from the lake designated Edinboro Lake in PA (latitude 41.88, longitude -80.14)<br /><br />No micronucleus present."
TSC_SD03208,21237-2,,T. elliotti,,,,,,,"Collected by Paul Doerder on 6/11/2011 from the lake designated Spa Lake in KY (latitude 36.95, longitude -87.03)<br /><br />No micronucleus present."
TSC_SD03209,21243-1,,T. mobilis,,,,,,,"Collected by Paul Doerder on 6/12/2011 from the lake designated Shanty Hollow Lake in KY (latitude 37.14, longitude -86.38)<br /><br />No micronucleus present."
TSC_SD03210,21290-1,,T. elliotti,,,,,,,"Collected by Paul Doerder on 6/13/2011 from the lake designated Laurel River Lake 1 in KY (latitude 36.98, longitude -84.26)<br /><br />It has a micronucleus."
TSC_SD03211,21325-1,,T. elliotti,,,,,,,"Collected by Paul Doerder on 6/14/2011 from the lake designated Paintsville Lake in KY (latitude 37.84, longitude -82.88)<br /><br />No micronucleus present."
TSC_SD03212,21346-5,,T. elliotti,,,,,,,"Collected by Paul Doerder on 6/14/2011 from the lake designated Greenbo Lake in KY (latitude 38.48, longitude -82.89)<br /><br />No micronucleus present."
TSC_SD03213,21351-1,,T. elliotti,,,,,,,"Collected by Paul Doerder on 6/15/2011 from the lake designated Rush Creek Lake in OH (latitude 39.79, longitude -82.41)<br /><br />It has a micronucleus."
TSC_SD03214,21415-1,,T. elliotti,,,,,,,"Collected by Paul Doerder on 7/20/2011 from the lake designated Moose Lake MN in MN (latitude 45.88, longitude -94.69)<br /><br />It has a micronucleus."
TSC_SD03215,21501-3,,T. canadensis,,,,,,,"Collected by Paul Doerder on 8/11/2011 from the lake designated Grand Lake MI in MI (latitude 45.3, longitude -83.53)<br /><br />No micronucleus present."
TSC_SD03216,19483-1,,T. pigmentosa,,,,,,,"Collected by Paul Doerder on 8/16/2007 from the lake designated Lake Teal MI in MI (latitude 46.51, longitude -87.63)<br /><br />It has a micronucleus."
TSC_SD03217,19639-1,,T. tropicalis,,,,,,,"Collected by Paul Doerder on 10/28/2007 from the stream designated Meigs Cr in OH (latitude 39.69, longitude -81.75)<br /><br />No micronucleus present."
TSC_SD03218,19894-5,,T. elliotti,,,,,,,"Collected by Paul Doerder on 8/26/2008 from the lake designated Tamarack Lake 2 in PA (latitude 41.61, longitude -80.1)<br /><br />It has a micronucleus."
TSC_SD03219,19901-1,,T. pigmentosa,,,,,,,"Collected by Paul Doerder on 8/26/2008 from the lake designated Woodcock Creek Lake 2 in PA (latitude 41.7, longitude -80.1)<br /><br />It has a micronucleus."
TSC_SD03220,19908-1,,T. pigmentosa,,,,,,,"Collected by Paul Doerder on 8/30/2008 from the lake designated Higgins Lake in MI (latitude 44.48, longitude -84.78)<br /><br />It has a micronucleus."
